adult,tconst,overview,poster_path,production_countries,production_companies_name,averageRating,category,primaryName,birthYear,genres,titles,languages_combined,votes,runtime,start_year,poster_url,video_link,overview_fr
False,tt0097106,"The story of an introverted young girl  just reaching adulthood who takes a liking to an older woman she meets at a party and determines to match her off with her father, despite the latter's already having a lover of his own.",/bP2qpuzQPBBBJa4kOhvLvOOiASq.jpg,['FR'],"['Les Films du Losange', 'Investimage', 'Compagnie Eric Rohmer (CER)']",6.400674684658257,actor,Unknown,1981.0,"['Comedy', 'Drama', 'Romance'],",A Tale of Springtime - ,"['fr'], ",6.9 / , / 103.0,1990.0 - ,https://image.tmdb.org/t/p/w154/miFnbcthbgBoAaXGAIDHlrRtJ7y.jpg,https://www.youtube.com/watch?v=g2niRik0nvo,"L'histoire d'une jeune fille introvertie qui vient d'atteindre l'âge adulte et qui s'éprend d'une femme plus âgée qu'elle rencontre lors d'une fête et décide de la mettre en couple avec son père, bien que ce dernier ait déjà une amante."
False,tt0098961,"Sheherazade has been married to a ruler who wants many wives, but only one at a time. Consequently, as soon as he has bedded them, he has them put to death. In most retellings, the girl staves off this unfortunate conclusion by putting off the connubial event for a thousand and one nights, telling irresistible stories instead. In this one, she gets hold of a magic lamp.",/wFubQZcMS5ZEPX3kf1XatDQPAmy.jpg,"['DE', 'FR', 'IT']","['Club Investissement Média', 'Cinémax', 'Télémax', 'Telepool', 'Antenne 2', 'RAI']",6.400674684658257,actor,Unknown,1981.0,"['Fantasy', 'Comedy', 'Adventure'],",1001 Nights - ,"['fr'], ",4.95 / , / 98.0,1990.0 - ,https://image.tmdb.org/t/p/w154/67GV30lMMgAcjRDn8ShwMThTvhS.jpg,https://www.youtube.com/watch?v=lzKrMfni29c,"Shéhérazade a été mariée à un souverain qui veut avoir plusieurs épouses, mais une seule à la fois. Aussi, dès qu'il a couché avec elles, il les fait mettre à mort. Dans la plupart des récits, la jeune fille évite cette conclusion malheureuse en repoussant l'événement conjugal à mille et une nuits, en racontant à la place des histoires irrésistibles. Dans celle-ci, elle met la main sur une lampe magique."
False,tt0099009,"A young Italian, living in Paris with his French wife, is about to become a father. Before the baby is born, Alberto must repay his father for every expense from his own birth until he left home.",/pETlj76yCVCkN7oCbMJu9in2JaY.jpg,"['FR', 'IT']",[],6.400674684658257,actor,Unknown,1981.0,"['Comedy'],",Alberto Express - ,"['fr', 'it'], ",0.0 / , / 92.0,1990.0 - ,https://image.tmdb.org/t/p/w154/pETlj76yCVCkN7oCbMJu9in2JaY.jpg,https://www.youtube.com/watch?v=VlcjgxVa3eo,"Un jeune Italien vivant à Paris avec sa femme française est sur le point de devenir père. Avant la naissance du bébé, Alberto doit rembourser à son père toutes les dépenses qu'il a engagées depuis sa naissance jusqu'à son départ de la maison."
False,tt0099200,"A story is about young teenage girl, with sister and brothers, a pleasant uncle and aunt, an annoying nanny, a young boy interested in kissing her, a close relationship with the imaginary addressee of her daily diary and her parents' disintegrating marriage - all this in a rented house in a summer resort.",/AjxFVDmOWFbHDmIP93waiFYBBbO.jpg,['FR'],"['Alexandre Films', 'Films A2', 'CNC']",6.400674684658257,actor,Unknown,1981.0,"['Comedy', 'Drama'],",C'est La Vie - ,"['fr'], ",6.2 / , / 110.0,1990.0 - ,https://image.tmdb.org/t/p/w154/9jFNYw3CYdnpr16UhufBeDWfH3e.jpg,https://www.youtube.com/watch?v=WjV8m84FcOs,"L'histoire parle d'une jeune adolescente, avec une sœur et des frères, un oncle et une tante agréables, une nounou agaçante, un jeune garçon intéressé à l'embrasser, une relation étroite avec le destinataire imaginaire de son journal quotidien et le mariage en ruine de ses parents - tout cela dans une maison louée dans une station balnéaire."
False,tt0099229,"Two girl pen pals and a simple summer in the country. They befriend a woman rumored to be a witch, and end up as amateur detectives when her pet pig is stolen.",/n0705Aaa9nKLoaWkWChJCxYUCc.jpg,['CA'],['Les Productions La Fête'],6.400674684658257,actor,Unknown,1981.0,"['Comedy', 'Drama', 'Family'],",The Case of the Witch Who Wasn't - ,"['fr'], ",5.2 / , / 95.0,1991.0 - ,https://image.tmdb.org/t/p/w154/AwxJFuXfxa0dM20pa8Ejwuww2T5.jpg,https://www.youtube.com/watch?v=GP6Nv1_iefA,Deux correspondantes passent un été simple à la campagne. Elles se lient d'amitié avec une femme que l'on dit sorcière et finissent par devenir détectives amateurs lorsque son cochon de compagnie est volé.
False,tt0099266,"To his chagrin, young Marcel Pagnol and his family move back to their home in Marseilles, France, far from their pastoral holiday cottage in the hills. Determined, Marcel makes the long voyage back to the cottage on foot and lands himself in trouble. One day Marcel's father discovers a shortcut to the cottage, but it requires trespassing. Despite their trepidations, Marcel and his family begin using the secret trail to reach their cottage.",/hw8Ec4jFuxSNCMUZiUpBKOMl65G.jpg,['FR'],"['Gaumont', 'TF1 Films Production', 'CNC']",7.6,actor,Julien Ciamaca,1978.0,"['Adventure', 'Comedy', 'Drama', 'Romance'],Adventure,Biography,Comedy",My Mother's Castle - My Mother's Castle,"['fr', 'oc'], en",7.196 / 5824.0,98.0 / 99.0,1990.0 - 1990.0,https://image.tmdb.org/t/p/w154/sdLkKpZ89HrdUARyHYgBGEB62cB.jpg,https://www.youtube.com/watch?v=B7RSYfXIjj8,"À son grand désespoir, le jeune Marcel Pagnol et sa famille retournent vivre à Marseille, loin de leur maison de vacances champêtre dans les collines. Déterminé, Marcel fait le long voyage de retour à pied et se retrouve dans le pétrin. Un jour, le père de Marcel découvre un raccourci pour y accéder, mais il faut pour cela pénétrer dans une propriété privée. Malgré leurs appréhensions, Marcel et sa famille commencent à utiliser le chemin secret pour rejoindre leur maison."
False,tt0099334,"Famed swordsman and poet Cyrano de Bergerac is in love with his cousin Roxane. He has never expressed his love for her as he his large nose undermines his self-confidence. Then he finds a way to express his love to her, indirectly.",/80XJ5UkGuYTKDuALeG03BLk1OT1.jpg,['FR'],"['Hachette Première', 'Films A2', 'DD Productions', 'Caméra One', 'CNC', 'Investors Club', 'Sofinergie 1', 'Union Générale Cinématographique (UGC)']",6.400674684658257,actor,Unknown,1981.0,"['Drama', 'Comedy', 'History', 'Romance'],",Cyrano de Bergerac - ,"['fr'], ",7.3 / , / 137.0,1990.0 - ,https://image.tmdb.org/t/p/w154/7X4lCnelWJIuoMRLZqom5aAWRUU.jpg,https://www.youtube.com/watch?v=fJyaXzAmYPs,"Cyrano de Bergerac, célèbre poète et escrimeur, est amoureux de sa cousine Roxane. Il ne lui a jamais exprimé son amour car son grand nez mine sa confiance en lui. Il trouve alors un moyen de lui exprimer son amour, indirectement."
False,tt0099669,"Raised by his science teacher father, Joseph Pagnol, and seamstress mother Augustine, young Marcel grows up during the turn of the century in awe of his rationalist dad. When the family takes a summer vacation in the countryside, Marcel becomes friends with Lili, who teaches him about rural life.",/4zwgcaKqIJ5GB6kCPpyMLZuNyoi.jpg,['FR'],"['Gaumont', 'TF1 Films Production', 'CNC']",6.400674684658257,actor,Unknown,1981.0,"['Adventure', 'Drama'],",My Father's Glory - ,"['fr', 'oc'], ",7.4 / , / 105.0,1990.0 - ,https://image.tmdb.org/t/p/w154/ibcsZfg8Pey1nkRiJm2JcdaWtUH.jpg,https://www.youtube.com/watch?v=wGcYT77ow40,"Élevé par son père professeur de sciences, Joseph Pagnol, et sa mère couturière, Augustine, le jeune Marcel grandit au tournant du siècle dans l'admiration de son père rationaliste. Lorsque la famille part en vacances d'été à la campagne, Marcel se lie d'amitié avec Lili, qui lui apprend la vie rurale."
False,tt0099699,"Urban horticulturalist Brontë Mitchell has her eye on a gorgeous apartment, but the building's board will rent it only to a married couple. Georges Fauré, a waiter from France whose visa is expiring, needs to marry an American woman to stay in the country. Their marriage of convenience turns into a burden when they must live together to allay the suspicions of the immigration service, as the polar opposites grate on each other's nerves.",/9UweLsv3pCORu25Uq72m2IBkKaK.jpg,"['FR', 'AU', 'US']","['Touchstone Pictures', 'Australian Film Finance Corporation']",6.400674684658257,actor,Unknown,1981.0,"['Comedy', 'Drama', 'Romance'],",Green Card - ,"['fr', 'es', 'en'], ",6.145 / , / 108.0,1990.0 - ,https://image.tmdb.org/t/p/w154/uxrZu7l6IUx3veAKHNxyirklGuY.jpg,https://www.youtube.com/watch?v=JkB9NBoHrLw,"L'horticultrice urbaine Brontë Mitchell a les yeux rivés sur un superbe appartement, mais le conseil d'administration de l'immeuble ne le louera qu'à un couple marié. Georges Fauré, un serveur français dont le visa expire, doit épouser une Américaine pour rester dans le pays. Leur mariage de convenance se transforme en fardeau lorsqu'ils doivent vivre ensemble pour apaiser les soupçons des services d'immigration, alors que les deux opposés s'agacent mutuellement."
False,tt0099785,"Eight-year-old Kevin McCallister makes the most of the situation after his family unwittingly leaves him behind when they go on Christmas vacation. But when a pair of bungling burglars set their sights on Kevin's house, the plucky kid stands ready to defend his territory. By planting booby traps galore, adorably mischievous Kevin stands his ground as his frantic mother attempts to race home before Christmas Day.",/9wSbe4CwObACCQvaUVhWQyLR5Vz.jpg,['US'],"['Hughes Entertainment', '20th Century Fox']",7.7,actor,Macaulay Culkin,1980.0,"['Comedy', 'Family'],Comedy,Family",Home Alone - Home Alone,"['en', 'fr'], en",7.404 / 670361.0,103.0 / 103.0,1990.0 - 1990.0,https://image.tmdb.org/t/p/w154/rFehgOlKneRZaNdxjjAEfF16NKj.jpg,https://www.youtube.com/watch?v=F4D9R7JlP7I,"Kevin McCallister, huit ans, profite au maximum de la situation après que sa famille l'a abandonné sans le vouloir alors qu'ils partaient en vacances de Noël. Mais lorsqu'une paire de cambrioleurs maladroits jette son dévolu sur la maison de Kevin, le courageux gamin est prêt à défendre son territoire. En posant des pièges à foison, l'adorable et espiègle Kevin tient bon tandis que sa mère affolée tente de rentrer à la maison avant le jour de Noël."
